Name,Position,Rating,PAC,SHO,PAS,DRI,DEF,PHY
Henry,LW,90,90,88,85,87,51,77
Maradona,CAM,95,88,91,90,95,42,75
Makélélé,CDM,90,80,50,79,80,88,88
Yashin,GK,91,93,85,73,93,62,92
Yashin,GK,94,95,89,75,96,60,95
Yashin,GK,89,91,86,72,92,64,89
Puyol,CB,92,70,45,68,58,94,90
Del Piero,CF,87,88,88,84,89,40,70
Puyol,CB,90,72,45,66,58,93,91
Bergkamp,CF,87,76,85,85,87,39,73
Ferdinand,CB,90,83,49,67,65,91,86
Bergkamp,CF,92,84,91,86,90,37,78
Ronaldinho,CAM,91,91,86,88,92,36,79
Petit,CDM,88,75,77,81,77,86,88
Crespo,ST,87,86,88,71,86,40,72
Crespo,ST,85,86,86,70,84,37,70
Kluivert,ST,88,86,84,79,82,39,81
Hernández,ST,87,91,87,73,87,47,68
Kluivert,ST,91,86,88,80,83,41,82
Hernández,ST,85,93,84,72,84,49,68
Vieira,CM,91,83,80,82,85,90,91
Vieira,CM,86,81,75,80,79,86,89
Schmeichel,GK,92,92,87,88,94,49,90
Schmeichel,GK,86,85,81,82,89,52,81
Gullit,CM,86,80,80,86,82,83,78
Carlos,LB,91,92,83,84,81,86,86
Rui Costa,CAM,85,84,76,84,83,42,75
Matthäus,CM,93,89,89,90,82,90,85
Gullit,CM,90,88,88,88,87,80,87
Rui Costa,CAM,88,82,80,87,86,47,76
Best,RW,88,91,88,81,92,59,70
Matthäus,CB,88,82,82,87,77,90,80
Best,RW,90,90,90,83,93,57,70
Maldini,CB,92,82,56,74,68,95,81
Maldini,CB,94,86,56,75,69,96,83
Overmars,LW,86,88,78,79,87,48,65
Blanc,CB,89,79,68,70,79,90,85
Blanc,CB,91,79,69,70,78,92,86
Ronaldinho,CAM,89,80,85,88,90,38,77
Deco,CAM,87,80,77,87,87,45,63
Deco,CAM,85,78,78,87,85,45,65
van Basten,ST,89,83,91,72,86,35,76
van Basten,ST,91,79,92,75,87,40,70
Hagi,CAM,89,85,87,89,89,40,65
Hagi,CAM,85,86,84,85,87,37,63
van der Sar,GK,87,86,83,84,88,49,86
Nesta,CB,90,71,41,62,66,91,85
Laudrup,LW,89,82,77,89,90,36,62
Nesta,CB,88,70,40,63,65,90,85
van der Sar,GK,89,87,86,83,90,47,89
Cannavaro,CB,87,82,42,60,68,90,81
Cannavaro,CB,89,76,44,62,67,92,82
Hierro,CB,86,75,65,73,71,87,82
Pirès,LM,88,88,80,86,86,40,62
Hierro,CB,89,71,66,75,70,90,84
Pirès,CAM,85,72,80,86,82,44,66
Inzaghi,ST,87,81,88,67,82,35,67
Inzaghi,ST,85,74,86,65,79,35,62
Luís Figo,RW,90,90,86,88,91,40,78
Owen,ST,88,91,86,66,87,31,62
Owen,ST,86,84,86,67,85,35,64
Okocha,RM,85,88,80,79,92,37,59
Okocha,RM,87,83,79,84,91,41,58
Zola,CF,85,90,85,82,91,41,63
Zola,CF,87,88,87,85,90,41,64
Litmanen,CAM,88,83,89,81,83,33,64
Litmanen,CF,85,76,85,84,80,33,61
Larsson,ST,90,90,89,76,85,48,73
Larsson,ST,86,86,86,74,84,46,72
Shevchenko,ST,88,84,89,73,85,35,75
Shevchenko,ST,86,88,90,67,85,32,71
Rijkaard,CB,88,78,73,79,78,88,85
Rijkaard,CDM,86,70,67,77,75,86,81
Zanetti,LB,87,88,59,82,80,83,80
Zanetti,RB,88,83,61,85,82,87,80
Vieri,ST,86,84,86,70,80,37,81
Vieri,ST,90,83,91,74,83,40,84
Giggs,LM,87,91,78,84,87,40,60
Desailly,CB,87,84,47,61,61,85,87
Giggs,LM,89,84,80,90,88,47,64
Desailly,CDM,88,83,54,69,67,88,88
Baresi,CB,88,71,47,70,72,89,82
Baresi,CB,91,69,48,74,70,94,80
Del Piero,CF,92,83,92,89,92,43,67
Moore,CB,87,70,60,78,73,90,83
Moore,CB,89,66,60,81,75,91,83
van Nistelrooy,ST,90,82,88,72,82,38,80
Nedvěd,LM,86,90,82,84,87,46,77
Scholes,CM,87,68,83,90,78,66,76
Stoichkov,ST,87,87,88,85,87,44,81
Stoichkov,LW,90,90,90,87,90,48,84
Shearer,ST,87,76,88,76,76,53,84
Keane,CM,88,74,72,84,78,85,88
Keane,CM,86,66,70,81,77,88,87
Nedvěd,LM,89,88,86,88,88,52,80
Baggio,CAM,93,86,84,92,92,40,61
Butragueño,ST,87,90,86,75,89,40,64
van Nistelrooy,ST,86,78,86,70,78,40,75
Butragueño,ST,90,92,88,81,91,42,70
Scholes,CM,89,71,86,89,81,64,80
Klose,ST,91,88,88,76,82,41,81
Klose,ST,89,83,87,75,81,42,78
Sócrates,CAM,89,82,88,88,88,46,83
Eusébio,CF,93,94,94,86,93,45,79
Cruyff,CF,89,92,87,85,92,40,70
Cruyff,CF,91,91,89,88,93,41,72
Nakata,CAM,88,85,84,86,87,62,65
Nakata,CAM,85,84,80,84,85,60,64
Lineker,ST,89,89,90,70,84,38,74
Makélélé,RM,85,86,64,80,82,70,80
Makélélé,CDM,87,78,47,77,77,86,85
Trezeguet,ST,89,82,90,68,80,43,76
Trezeguet,ST,86,84,86,66,77,40,75
Seedorf,CM,88,82,85,87,86,70,85
Seedorf,CM,85,83,81,84,84,71,83
Essien,CDM,90,85,76,81,82,90,90
Lampard,CM,88,66,88,87,83,70,76
Gerrard,CDM,86,70,85,88,78,80,81
Gerrard,CM,89,80,86,88,84,75,80
Raúl,CF,88,86,86,78,88,45,72
Rivaldo,CF,90,85,90,87,90,43,77
Raúl,CF,86,77,85,80,86,50,71
Rivaldo,CAM,87,86,87,85,88,42,76
Verón,CM,90,76,85,90,85,77,85
Campbell,CB,87,82,44,58,55,87,87
Gattuso,CDM,89,73,65,72,73,91,89
Gattuso,CM,85,73,66,76,74,90,88
Baggio,CAM,91,88,82,89,90,38,60
Baggio,CF,89,82,83,90,90,41,61
Shevchenko,ST,91,88,92,72,87,34,75
Laudrup,CF,85,87,74,84,89,35,63
Guardiola,CDM,87,78,65,82,79,85,78
Guardiola,CDM,90,78,65,88,81,88,83
Guardiola,CDM,85,75,65,82,76,85,77
Ballack,CM,89,78,87,88,82,78,88
Ballack,CM,86,72,86,86,78,80,83
Kaká,CAM,89,85,82,87,90,43,70
Larsson,ST,87,85,84,77,82,44,71
Luís Figo,CAM,88,88,84,87,88,42,77
Essien,CDM,85,83,72,75,78,85,87
Essien,CDM,87,77,71,80,80,86,85
Capita,RB,90,90,63,80,83,87,84
Capita,CB,87,82,62,80,80,88,83
Barnes,LW,87,88,83,82,87,40,82
Barnes,LW,89,90,87,85,91,45,85
Barnes,CAM,86,82,83,86,87,61,84
Sánchez,ST,89,90,88,78,89,41,70
Sánchez,ST,87,88,88,78,86,43,70
Garrincha,RW,90,90,83,88,93,41,67
Verón,CM,86,70,80,85,81,74,79
Garrincha,RW,94,90,87,94,96,41,68
Garrincha,RW,92,90,86,92,94,41,67
Pirlo,CM,90,75,79,93,90,68,65
Pirlo,CM,88,70,79,91,90,66,64
Drogba,ST,87,88,87,71,80,43,86
Petit,LB,85,80,73,80,78,86,83
Drogba,ST,89,85,90,75,80,46,88
Dalglish,ST,92,90,92,77,90,41,73
Rush,ST,89,83,90,72,85,44,80
Rush,ST,87,86,88,70,83,41,79
Dalglish,CF,90,87,90,79,89,42,71
Koeman,CB,88,77,86,86,79,87,83
Dalglish,ST,87,87,88,74,88,40,70
Wright,ST,89,89,90,70,82,41,77
Wright,ST,85,91,86,66,79,40,74
Wright,ST,87,85,89,69,82,40,75
Zambrotta,RWB,86,91,72,82,84,82,84
Zidane,CM,91,84,86,91,90,73,81
Zidane,CAM,94,82,90,93,92,72,83
Zambrotta,RB,89,90,72,84,85,88,86
Overmars,LM,90,95,82,81,89,47,67
Zambrotta,LB,87,87,70,82,82,86,85
Shearer,ST,89,84,90,75,78,48,84
Riquelme,CAM,87,68,82,89,90,29,66
Riquelme,CAM,89,68,83,91,92,32,67
Lampard,CM,86,75,86,85,82,70,76
Kaká,CAM,87,88,80,83,90,41,67
Eusébio,CF,91,93,93,88,90,42,74
Koeman,CB,85,67,84,87,76,86,82
Félix,CF,81,81,81,74,83,40,69
Hernández,LB,80,92,67,73,77,74,77
Haaland,ST,84,84,87,63,76,43,85
De Bruyne,CAM,91,76,86,93,88,64,78
van Dijk,CB,90,76,60,71,72,91,86
Mané,LW,90,94,85,80,90,44,76
Yedder,ST,84,84,83,77,87,39,63
Alisson,GK,90,86,88,85,89,52,91
Agüero,ST,89,78,90,77,88,33,73
Vinícius,LW,80,95,69,71,86,29,66
Kane,ST,88,68,91,80,81,47,83
Sterling,LW,88,93,81,79,90,45,67
Ederson,GK,88,86,82,93,88,64,86
Kanté,CDM,88,77,66,76,81,86,82
Payet,LW,82,70,79,84,85,39,67
Bernat,LB,83,81,64,79,83,76,67
Mbappé,ST,90,96,86,78,91,39,76
Mandanda,GK,83,81,81,78,84,49,81
Ronaldo,ST,92,89,93,81,89,35,77
Neymar,LW,91,91,85,86,94,36,59
Salah,RW,90,93,86,81,90,45,75
Oblak,GK,91,87,92,78,90,50,90
ter Stegen,GK,90,88,85,88,90,43,88
Ramos,CB,89,71,70,76,74,88,85
Neuer,GK,89,87,87,91,89,56,86
Benzema,CF,89,74,85,81,87,40,76
Casemiro,CDM,89,65,73,76,73,86,91
Courtois,GK,89,84,89,74,88,46,85
Kimmich,CDM,88,71,72,86,84,81,79
Kroos,CM,88,54,81,91,81,71,69
Hazard,LW,88,88,82,83,92,35,66
Handanovic,GK,88,88,85,73,89,53,89
Dybala,CF,88,85,85,84,91,43,63
Koulibaly,CB,88,75,28,55,69,89,86
Lopes,GK,83,85,80,74,86,63,80
Modric,CM,87,73,76,89,88,71,66
Immobile,ST,87,84,88,67,83,39,77
Fernandes,CAM,87,77,83,88,85,68,75
Di María,RW,87,83,81,85,87,48,68
Son,LM,87,88,86,80,87,43,69
Suárez,ST,87,70,90,82,83,51,83
Messi,RW,93,85,92,91,95,38,65
Lewandowski,ST,91,78,91,78,86,43,82
Alexander-Arnold,RB,87,80,66,87,80,80,71
Griezmann,ST,87,79,85,84,88,57,72
Szczesny,GK,87,86,82,73,88,49,87
Silva,RW,87,81,77,83,92,51,67
Robertson,LB,87,83,62,80,80,81,76
Navas,GK,87,90,81,75,90,54,82
Busquets,CDM,87,42,62,80,81,83,77
Sancho,RM,87,83,74,81,91,37,64
Müller,CAM,86,68,82,82,78,56,71
Vardy,ST,86,88,85,66,79,55,75
Fabinho,CDM,87,67,69,79,77,85,83
Pogba,CM,86,73,81,86,85,66,85
Verratti,CM,86,64,60,85,90,79,67
Piqué,CB,86,57,61,71,69,86,80
Gómez,CAM,86,90,79,84,88,39,55
Carvajal,RB,86,80,54,78,81,82,80
Henderson,CDM,86,65,74,84,79,81,82
Hummels,CB,86,58,58,77,73,89,77
De Gea,GK,86,88,81,78,89,57,82
Varane,CB,86,82,49,64,65,87,82
Alba,LB,86,88,69,81,83,78,72
Sommer,GK,86,80,86,85,85,50,87
Gnabry,RM,85,82,83,78,85,43,70
Marquinhos,CB,85,72,41,73,71,87,78
Lukaku,ST,85,81,83,76,75,38,84
Alberto,CAM,85,74,76,86,85,58,59
Thiago,CM,85,64,72,85,90,70,62
Havertz,CAM,85,84,81,79,85,45,67
Mahrez,RW,85,83,79,81,90,38,59
Donnarumma,GK,85,89,81,76,89,49,83
Reus,CAM,85,80,86,84,85,45,63
Ziyech,CAM,85,80,76,87,83,50,66
Milinkovic-Savic,CM,85,69,79,80,83,79,85
Werner,ST,85,91,85,69,84,35,71
Wijnaldum,CM,85,76,75,81,86,78,79
Pereira,RB,85,83,66,79,82,81,76
de Ligt,CB,85,72,59,66,69,85,84
Silva,CB,85,59,54,72,72,86,78
Pjanic,CM,85,67,68,87,85,75,67
Rashford,LM,85,91,83,78,85,45,78
Insigne,LW,85,88,78,83,91,36,44
Sané,LM,85,93,81,79,85,38,67
Parejo,CM,85,50,83,90,81,71,69
Mertens,CF,85,86,82,80,89,35,51
Koke,CM,85,67,75,85,81,76,80
Škriniar,CB,85,69,41,59,66,87,81
Leno,GK,85,85,83,80,86,55,84
de Jong,CM,85,80,64,84,87,76,77
Rodri,CDM,85,65,68,77,77,82,80
Lenglet,CB,85,74,45,67,66,87,81
Gulácsi,GK,85,84,85,82,86,43,84
Alderweireld,CB,85,63,55,72,68,87,79
Icardi,ST,85,73,85,65,78,36,68
Godín,CB,85,57,48,64,62,87,79
Walker,RB,85,92,63,76,77,80,82
Sandro,LB,85,81,65,77,80,81,81
Eriksen,CAM,85,72,81,88,82,53,63
Laporte,CB,87,63,50,72,69,88,81
Ilicic,CF,84,70,86,84,85,43,68
Alaba,CB,84,77,70,81,80,83,76
Felipe,CB,84,62,41,58,62,86,86
Fernandinho,CB,84,64,72,78,78,85,79
de Vrij,CB,84,68,41,62,69,86,75
Coman,LM,84,93,76,77,87,29,59
Oyarzabal,LW,84,81,82,80,83,41,63
Guerreiro,LM,84,74,78,84,87,73,57
Pizzi,RM,84,75,78,83,83,65,68
Acuña,LB,83,76,74,82,86,78,82
Cancelo,RB,83,86,65,79,83,77,71
Mendy,LB,83,92,64,76,79,78,82
Marcelo,LB,83,79,73,80,88,76,76
Trippier,RB,83,73,60,81,77,79,72
Wan-Bissaka,RB,83,86,51,68,80,82,74
Grimaldo,LB,84,85,65,79,84,77,71
Navas,RB,84,87,69,79,83,80,58
Azpilicueta,RB,84,67,55,77,72,84,76
Tagliafico,LB,84,82,56,73,76,82,79
Onana,GK,84,84,80,87,86,63,82
Digne,LB,84,78,69,80,79,80,76
Patrício,GK,84,84,80,77,83,55,82
Schmeichel,GK,84,82,77,83,89,53,79
Bürki,GK,84,85,82,72,88,46,82
Aspas,ST,84,82,85,77,86,35,63
Partey,CM,84,71,74,81,81,82,85
Aubameyang,ST,87,93,86,75,81,38,69
Gomez,CB,83,82,30,66,70,83,80
Sánchez,CB,81,74,45,56,66,82,81
Matip,CB,83,60,46,68,68,85,78
Lo Celso,CM,82,77,77,82,85,65,73
Alli,CAM,83,72,80,79,83,71,79
Shaqiri,RM,81,79,77,80,83,46,67
Keïta,CM,81,71,73,76,87,65,66
Bergwijn,LM,83,87,79,78,85,39,73
Milner,CM,80,58,70,82,78,77,77
Telles,LB,84,85,74,83,80,79,76
Origi,ST,77,82,76,67,77,27,74
Minamino,RW,77,87,73,69,82,36,64
Jesus,ST,83,85,82,72,87,42,72
Chiellini,CB,87,66,46,58,62,90,79
Gündogan,CM,83,66,74,84,84,72,71
Lloris,GK,87,89,82,68,90,64,84
Zinchenko,LB,80,73,66,81,80,77,69
Foden,CAM,79,75,70,76,81,56,55
Mendy,LB,81,80,54,77,77,77,77
Aké,CB,79,74,53,70,72,81,76
Ferrán Torres,RM,81,82,76,78,80,34,64
Rose,LB,79,75,61,72,77,77,72
Isco,CAM,84,68,75,82,89,59,59
Winks,CDM,79,71,58,78,82,72,68
Sissoko,CM,79,78,63,77,78,77,89
Davies,LB,80,73,58,75,75,78,74
Valverde,CM,83,86,74,78,80,77,80
Asensio,LW,82,79,80,81,83,43,61
Ndombele,CM,80,74,66,80,87,69,74
Højbjerg,CDM,80,61,70,76,75,77,80
Lamela,RM,80,75,78,80,82,54,72
Lucas,RM,83,92,78,72,87,43,67
Vázquez,RW,80,81,73,78,80,58,69
Jovic,ST,80,75,81,68,80,29,74
Sarabia,RW,81,73,76,82,82,57,57
Kimpembe,CB,81,73,39,67,67,80,84
Gueye,CDM,84,69,61,71,78,85,79
Bruno Guimarães,CM,78,69,64,77,78,74,73
Saelemaekers,RW,72,78,60,71,75,59,60
Bonucci,CB,85,60,58,69,71,87,77
Silva,CAM,86,64,74,88,88,52,55
Bennacer,CDM,75,71,65,74,79,70,67
Paquetá,CM,76,75,74,75,81,59,75
Calabria,RB,76,73,43,67,72,75,66
Aurier,RB,80,76,60,73,76,77,77
Conti,RB,77,75,59,70,75,73,67
Tonali,CDM,77,80,65,78,76,72,76
Rodrygo,RW,79,87,75,70,83,32,57
Kessié,CM,77,71,72,71,77,77,87
Musacchio,CB,78,63,47,63,67,82,70
Rebic,ST,79,88,80,70,79,39,80
Çalhanoğlu,LW,79,65,75,82,83,59,57
Kjær,CB,80,61,55,64,56,81,75
Romagnoli,CB,83,70,40,56,70,85,78
Ibrahimovic,ST,83,52,88,77,79,34,77
Kovacic,CM,83,75,69,83,87,69,70
Jorginho,CM,83,55,65,84,80,72,73
Pulisic,LW,81,89,70,72,84,37,59
Schmelzer,LB,74,66,48,66,66,75,73
Akanji,CB,78,77,46,66,71,80,76
Rafael Leão,ST,74,86,72,64,78,27,69
Dahoud,CM,76,73,66,73,81,64,68
Brahim Díaz,LW,74,75,68,65,81,29,42
Wolf,RM,76,79,70,72,75,68,75
Unbehaun,GK,61,52,58,65,65,53,63
Passlack,RM,68,73,59,66,71,63,75
Raschl,CDM,63,64,44,61,66,56,62
Hitz,GK,78,79,77,63,80,43,79
Mateu Morey,RB,66,75,45,62,72,58,52
Zagadou,CB,79,59,34,61,52,81,81
Piszczek,CB,80,72,68,74,72,81,78
Can,CM,82,74,78,79,80,83,87
Delaney,CDM,81,77,73,73,75,82,82
Meunier,RB,81,77,73,76,74,77,84
Romo,CB,75,66,57,64,65,75,76
Hazard,LM,83,84,77,81,85,52,67
Robben,RM,80,74,82,78,86,30,57
Mount,CAM,80,74,77,79,80,48,61
Sirigu,GK,84,84,80,76,82,50,84
Christensen,CB,79,66,31,63,68,82,72
Giroud,ST,79,39,79,70,71,42,77
Zouma,CB,80,67,51,61,56,80,84
Chilwell,LB,81,76,52,74,78,77,75
Rüdiger,CB,81,70,43,67,64,82,80
Kurzawa,LB,77,74,65,73,76,74,71
Sergio Rico,GK,77,77,74,77,80,47,74
Draxler,CAM,80,75,76,80,82,55,63
Paredes,CM,79,68,70,80,78,75,79
Herrera,CM,79,66,72,77,79,79,74
Martínez,ST,84,83,82,71,85,48,82
Brozovic,CDM,84,63,74,80,81,79,78
D'Ambrosio,RB,77,70,56,67,71,78,70
Young,RM,77,69,67,74,77,74,68
Sensi,CM,78,67,59,80,80,67,67
Hakimi,RM,83,94,70,76,82,72,76
Barella,CM,80,78,67,79,82,74,72
Sánchez,LW,80,79,78,77,84,44,70
Bastoni,CB,75,62,33,52,55,78,68
Alonso,LB,81,65,75,78,77,77,79
Candreva,RM,78,72,78,77,79,61,65
Vecino,CDM,80,65,68,77,80,78,75
Loftus-Cheek,CM,78,69,67,76,80,62,79
Esposito,ST,66,69,66,61,66,34,57
Brandt,CAM,84,81,78,82,86,51,66
Reinier,CF,71,82,68,64,75,43,65
Reyna,LM,68,77,59,64,76,29,52
Phillips,CDM,76,66,66,70,69,73,83
Llorente,CM,82,84,74,79,81,78,82
Carrasco,LM,82,91,81,75,84,36,65
Kumbulla,CB,75,61,32,53,58,77,73
Bale,RW,83,88,84,82,80,58,73
Davies,LB,81,96,67,69,82,76,76
Kulusevski,RW,77,81,69,75,78,56,75
Saka,LM,75,84,61,71,77,55,63
Kehrer,CB,77,72,44,65,68,78,74
Greenwood,RM,77,81,78,71,78,39,67
Córdova,LM,75,77,71,70,76,44,60
Tapsoba,CB,78,74,52,63,63,78,78
Baumgartner,CAM,75,78,63,71,78,40,50
Disasi,CB,75,55,28,49,56,74,82
Suárez,ST,75,86,78,62,71,40,80
Diallo,CB,78,75,38,71,76,78,76
Kudus,CAM,75,87,70,67,79,53,77
Dest,RB,75,87,58,71,79,67,63
Salisu,CB,76,67,36,51,55,76,80
Carlos Neva,LB,76,78,50,61,70,74,64
Edwards,RW,77,84,65,68,84,34,48
Baldock,RWB,77,79,47,65,74,72,74
Pedro Gonçalves,CM,76,74,71,75,80,54,54
Weissman,ST,75,76,76,60,74,24,63
Kamara,LB,77,88,60,68,76,71,76
Ihattaren,CAM,77,75,68,76,82,41,64
Luís Maximiano,GK,78,79,76,65,79,55,76
Lundstram,CM,76,64,69,70,71,71,73
Rui Silva,GK,79,78,74,75,84,31,80
Diaby,LM,81,93,66,74,84,43,53
Ødegaard,CAM,83,78,75,84,84,58,63
Koundé,CB,79,77,34,57,70,81,73
Isak,ST,79,82,80,65,78,28,69
Osimhen,ST,79,87,79,63,73,39,79
Kamara,CDM,79,69,46,71,72,77,74
Rice,CDM,79,65,44,65,69,78,78
Jiménez,ST,84,78,82,76,82,49,83
James,RB,77,80,57,72,75,73,76
Söyüncü,CB,80,69,46,60,67,80,80
Henderson,GK,80,80,80,70,83,50,77
James,RM,77,95,70,69,76,43,63
Ings,ST,80,76,81,67,78,32,69
Barnes,LW,79,83,72,75,80,45,57
Costa,LM,84,93,73,79,90,43,59
Coutinho,CAM,83,72,79,82,88,52,59
Zaha,LM,83,90,75,72,87,34,75
Dembélé,LW,83,92,77,77,86,36,56
Promes,CAM,82,89,80,79,82,46,71
Witsel,CDM,84,63,73,81,80,82,82
Marlos,RM,81,80,78,78,86,47,69
Ribéry,CF,81,74,74,82,86,30,53
Salvio,RM,81,86,76,73,84,58,69
Nani,LW,80,72,76,79,85,37,67
Cuadrado,RB,81,89,72,78,87,72,64
Saint-Maximin,LM,80,93,70,72,87,25,63
Bernardeschi,CAM,80,80,75,80,83,60,65
El Shaarawy,LW,79,86,77,76,78,46,64
Piatti,LW,78,68,79,74,81,54,72
Centurión,RW,77,91,70,69,84,40,67
Harit,CAM,77,72,66,71,83,45,48
Hernâni,RM,76,91,68,68,81,29,60
Bolasie,LW,75,80,69,68,79,34,77
Moreno,CM,75,89,67,71,84,59,59
Evander,CAM,74,71,69,72,79,56,59
Acosta,CAM,73,80,66,68,79,46,55
Maxim,CAM,72,69,67,71,78,32,54
Songkrasin,CF,73,86,67,70,78,27,43
Boulaya,RW,72,73,65,69,78,25,52
McGeady,LM,71,70,70,71,76,44,58
Wamangituka,ST,70,89,65,54,73,38,66
Mackay-Steven,RM,69,83,62,62,74,34,56
Ilsinho,RM,68,60,64,66,76,53,60
Malinovskyi,CM,79,70,79,81,78,66,79
Rojas,RW,69,89,67,57,75,33,61
Carrascal,CAM,73,70,68,70,80,41,53
Fernández,CM,73,65,67,76,76,57,62
Skov,LWB,75,79,77,77,76,64,71
Adama,RW,79,96,66,68,86,38,80
Ward-Prowse,CM,79,60,72,85,77,66,67
Bardhi,LM,79,76,81,78,82,63,58
Giovinco,CAM,80,80,77,78,86,27,56
Nakamura,CAM,65,30,69,74,67,36,51
Williams,ST,81,94,79,72,78,39,81
Nagai,ST,70,95,67,63,68,41,75
Diatta,RM,77,94,70,67,81,47,68
Ejuke,LW,75,94,69,61,78,37,59
Chalá,LB,69,95,46,59,59,64,66
Mileusnic,LW,64,94,58,55,65,23,60
Aurélio Buta,RB,76,94,60,66,76,67,70
Barkhuizen,RM,72,94,66,61,70,41,67
Sarr,RM,78,94,77,68,80,22,66
Dier,CDM,78,53,63,70,65,80,83
Özil,CAM,82,64,69,85,83,24,55
León,RM,79,59,77,87,78,45,58
Martins,RM,80,94,71,72,85,51,61
Pavlovic,CB,75,31,60,51,53,73,84
Moutinho,CM,83,56,75,86,83,72,66
Seck,CB,69,75,42,54,50,65,85
Boly,CB,80,62,36,64,65,80,83
Süle,CB,84,69,42,59,51,85,81
Cissé,CB,75,76,32,43,45,73,86
Coates,CB,81,59,43,54,61,83,86
Ballas,CB,68,55,34,46,42,67,75
Carvalho,CB,68,70,40,47,49,64,85
Petrášek,CB,67,66,45,37,44,65,81
Oularé,ST,71,64,72,56,63,29,73
Vukotić,CB,68,31,42,49,46,68,79
Akinfenwa,ST,65,42,64,54,56,35,81
Dike,ST,61,68,61,40,48,19,78
Méndez,RB,70,68,40,57,61,66,91
Gignac,ST,81,67,83,74,74,43,83
Ochoa,GK,79,77,69,75,83,48,79
Rodríguez,ST,78,87,77,68,80,37,76
Mena,RM,78,81,72,73,80,44,49
Rafael Carioca,CDM,78,70,66,77,75,73,73
Ortíz,CDM,78,64,55,69,72,75,77
Rodríguez,RB,78,84,64,72,75,72,77
